date,category,value,color
Jul-04,Abap,0.34,#FF5733
Jul-04,Ada,0.36,#33FF57
Jul-04,C/C++,10.01,green
Jul-04,C#,4.68,#3357FF
Jul-04,Cobol,0.42,#FFC300
Jul-04,Dart,0.0,#FF33A1
Jul-04,Delphi/Pascal,2.8,#33FFF6
Jul-04,Go,0.0,#FF8C33
Jul-04,Groovy,0.03,#A133FF
Jul-04,Haskell,0.22,#33A1FF
Jul-04,Java,30.16,red
Jul-04,JavaScript,8.59,#FFD700
Jul-04,Julia,0.0,#FF33B5
Jul-04,Kotlin,0.24,#33FF99
Jul-04,Lua,0.16,#FF3380
Jul-04,Matlab,2.1,#B533FF
Jul-04,Objective-C,0.19,#33FFDD
Jul-04,Perl,7.33,#FFC1C1
Jul-04,PHP,18.62,#FF6F33
Jul-04,Powershell,0.16,#8C33FF
Jul-04,Python,2.51,blue
Jul-04,R,0.39,#3399FF
Jul-04,Ruby,0.33,#FF3333
Jul-04,Rust,0.24,#FF5733
Jul-04,Scala,0.17,#33FFB5
Jul-04,Swift,0.0,#FF33F6
Jul-04,TypeScript,0.0,#33FF80
Jul-04,VBA,1.43,#FFC333
Jul-04,Visual Basic,8.5,#A1FF33
Aug-04,Abap,0.35,#FF5733
Aug-04,Ada,0.36,#33FF57
Aug-04,C/C++,9.74,green
Aug-04,C#,4.96,#3357FF
Aug-04,Cobol,0.46,#FFC300
Aug-04,Dart,0.0,#FF33A1
Aug-04,Delphi/Pascal,2.65,#33FFF6
Aug-04,Go,0.0,#FF8C33
Aug-04,Groovy,0.07,#A133FF
Aug-04,Haskell,0.2,#33A1FF
Aug-04,Java,29.8,red
Aug-04,JavaScript,8.72,#FFD700
Aug-04,Julia,0.0,#FF33B5
Aug-04,Kotlin,0.22,#33FF99
Aug-04,Lua,0.15,#FF3380
Aug-04,Matlab,2.03,#B533FF
Aug-04,Objective-C,0.18,#33FFDD
Aug-04,Perl,7.07,#FFC1C1
Aug-04,PHP,19.14,#FF6F33
Aug-04,Powershell,0.15,#8C33FF
Aug-04,Python,2.62,blue
Aug-04,R,0.4,#3399FF
Aug-04,Ruby,0.4,#FF3333
Aug-04,Rust,0.19,#FF5733
Aug-04,Scala,0.17,#33FFB5
Aug-04,Swift,0.0,#FF33F6
Aug-04,TypeScript,0.0,#33FF80
Aug-04,VBA,1.45,#FFC333
Aug-04,Visual Basic,8.51,#A1FF33
Sep-04,Abap,0.41,#FF5733
Sep-04,Ada,0.41,#33FF57
Sep-04,C/C++,9.59,green
Sep-04,C#,5.04,#3357FF
Sep-04,Cobol,0.51,#FFC300
Sep-04,Dart,0.0,#FF33A1
Sep-04,Delphi/Pascal,2.64,#33FFF6
Sep-04,Go,0.0,#FF8C33
Sep-04,Groovy,0.08,#A133FF
Sep-04,Haskell,0.21,#33A1FF
Sep-04,Java,29.59,red
Sep-04,JavaScript,8.67,#FFD700
Sep-04,Julia,0.0,#FF33B5
Sep-04,Kotlin,0.15,#33FF99
Sep-04,Lua,0.19,#FF3380
Sep-04,Matlab,2.1,#B533FF
Sep-04,Objective-C,0.19,#33FFDD
Sep-04,Perl,7.0,#FFC1C1
Sep-04,PHP,19.42,#FF6F33
Sep-04,Powershell,0.08,#8C33FF
Sep-04,Python,2.71,blue
Sep-04,R,0.4,#3399FF
Sep-04,Ruby,0.41,#FF3333
Sep-04,Rust,0.17,#FF5733
Sep-04,Scala,0.13,#33FFB5
Sep-04,Swift,0.0,#FF33F6
Sep-04,TypeScript,0.0,#33FF80
Sep-04,VBA,1.54,#FFC333
Sep-04,Visual Basic,8.38,#A1FF33
Oct-04,Abap,0.4,#FF5733
Oct-04,Ada,0.38,#33FF57
Oct-04,C/C++,9.47,green
Oct-04,C#,5.29,#3357FF
Oct-04,Cobol,0.53,#FFC300
Oct-04,Dart,0.0,#FF33A1
Oct-04,Delphi/Pascal,2.76,#33FFF6
Oct-04,Go,0.0,#FF8C33
Oct-04,Groovy,0.09,#A133FF
Oct-04,Haskell,0.2,#33A1FF
Oct-04,Java,29.02,red
Oct-04,JavaScript,8.44,#FFD700
Oct-04,Julia,0.0,#FF33B5
Oct-04,Kotlin,0.11,#33FF99
Oct-04,Lua,0.22,#FF3380
Oct-04,Matlab,2.23,#B533FF
Oct-04,Objective-C,0.2,#33FFDD
Oct-04,Perl,7.15,#FFC1C1
Oct-04,PHP,19.28,#FF6F33
Oct-04,Powershell,0.12,#8C33FF
Oct-04,Python,2.91,blue
Oct-04,R,0.42,#3399FF
Oct-04,Ruby,0.46,#FF3333
Oct-04,Rust,0.12,#FF5733
Oct-04,Scala,0.14,#33FFB5
Oct-04,Swift,0.0,#FF33F6
